Category: All categories,,
,,
Region,"Milkshake: (4/5/26, 4:04 PM - 4/6/26, 4:04 PM)",02/01/2024-02/28/25
Delaware,100,
North Carolina,88,
South Carolina,88,
Alabama,85,
Oklahoma,83,
Tennessee,82,
West Virginia,82,
Kentucky,81,
District of Columbia,80,
Indiana,78,
Arizona,77,
Georgia,77,
Ohio,77,
Mississippi,76,
Kansas,76,
Illinois,76,
Louisiana,76,
Arkansas,75,
California,74,
Missouri,73,
Rhode Island,73,
Florida,73,
Utah,72,
Texas,72,
Idaho,71,
Virginia,71,
New Jersey,71,
Maryland,70,
Pennsylvania,68,
Michigan,68,
Washington,67,
Nevada,66,
Colorado,66,
New Hampshire,66,
Oregon,65,
Wisconsin,65,
North Dakota,65,
Iowa,64,
Connecticut,63,
New York,62,
Wyoming,61,
Hawaii,60,
Montana,59,
Massachusetts,58,
New Mexico,57,
South Dakota,57,
Alaska,57,
Maine,56,
Minnesota,55,
Nebraska,54,
Vermont,40,
