Category: All categories

Time,Milkshake: (United States),Hamburger: (United States),Break ups: (United States)
2026-04-05T16:04:00-07:00,94,61,0
2026-04-05T16:12:00-07:00,88,61,0
2026-04-05T16:20:00-07:00,91,54,0
2026-04-05T16:28:00-07:00,89,63,0
2026-04-05T16:36:00-07:00,96,61,0
2026-04-05T16:44:00-07:00,100,63,0
2026-04-05T16:52:00-07:00,99,52,0
2026-04-05T17:00:00-07:00,96,55,0
2026-04-05T17:08:00-07:00,84,51,0
2026-04-05T17:16:00-07:00,90,55,0
2026-04-05T17:24:00-07:00,95,49,0
2026-04-05T17:32:00-07:00,97,51,0
2026-04-05T17:40:00-07:00,98,47,0
2026-04-05T17:48:00-07:00,88,45,0
2026-04-05T17:56:00-07:00,96,45,0
2026-04-05T18:04:00-07:00,76,44,0
2026-04-05T18:12:00-07:00,83,38,0
2026-04-05T18:20:00-07:00,92,40,0
2026-04-05T18:28:00-07:00,71,37,0
2026-04-05T18:36:00-07:00,80,35,0
2026-04-05T18:44:00-07:00,75,32,0
2026-04-05T18:52:00-07:00,79,35,0
2026-04-05T19:00:00-07:00,74,30,0
2026-04-05T19:08:00-07:00,72,27,0
2026-04-05T19:16:00-07:00,75,31,0
2026-04-05T19:24:00-07:00,76,36,0
2026-04-05T19:32:00-07:00,74,31,0
2026-04-05T19:40:00-07:00,78,29,0
2026-04-05T19:48:00-07:00,70,28,0
2026-04-05T19:56:00-07:00,65,33,0
2026-04-05T20:04:00-07:00,75,40,0
2026-04-05T20:12:00-07:00,75,41,0
2026-04-05T20:20:00-07:00,76,30,0
2026-04-05T20:28:00-07:00,72,37,0
2026-04-05T20:36:00-07:00,63,31,0
2026-04-05T20:44:00-07:00,81,21,0
2026-04-05T20:52:00-07:00,69,25,0
2026-04-05T21:00:00-07:00,74,26,0
2026-04-05T21:08:00-07:00,60,34,0
2026-04-05T21:16:00-07:00,99,96,0
2026-04-05T21:24:00-07:00,64,29,0
2026-04-05T21:32:00-07:00,63,25,0
2026-04-05T21:40:00-07:00,64,32,0
2026-04-05T21:48:00-07:00,65,27,0
2026-04-05T21:56:00-07:00,64,21,0
2026-04-05T22:04:00-07:00,63,27,0
2026-04-05T22:12:00-07:00,57,22,0
2026-04-05T22:20:00-07:00,58,20,0
2026-04-05T22:28:00-07:00,63,25,0
2026-04-05T22:36:00-07:00,70,20,0
2026-04-05T22:44:00-07:00,58,18,0
2026-04-05T22:52:00-07:00,59,19,0
2026-04-05T23:00:00-07:00,59,28,0
2026-04-05T23:08:00-07:00,59,21,0
2026-04-05T23:16:00-07:00,53,23,0
2026-04-05T23:24:00-07:00,61,31,0
2026-04-05T23:32:00-07:00,51,26,0
2026-04-05T23:40:00-07:00,61,33,0
2026-04-05T23:48:00-07:00,60,21,0
